DATE,USPRIV
2016-08-01,122397
2016-09-01,122636
2016-10-01,122785
2016-11-01,122959
2016-12-01,123131
2017-01-01,123383
2017-02-01,123587
2017-03-01,123655
2017-04-01,123829
2017-05-01,123994
2017-06-01,124214
2017-07-01,124402
2017-08-01,124610
2017-09-01,124626
2017-10-01,124903
2017-11-01,125120
2017-12-01,125294
2018-01-01,125482
2018-02-01,125803
2018-03-01,125956
2018-04-01,126130
2018-05-01,126390
2018-06-01,126582
2018-07-01,126735
2018-08-01,126939
